scene_id,analysis_type,tsne_x,tsne_y
2024_09_04__15_51_18,lane_change_conflict,433.97137,14.795878
2024_09_04__15_51_41,rear_end,433.97137,14.795878
2024_09_04__16_09_07,rear_end,298.93192,-259.4708
2024_09_04__16_10_02,rear_end,-108.728226,439.96622
2024_09_08__15_26_26,rear_end,-434.25388,145.84465
2024_09_09__21_45_15,lane_change_conflict,-3.1488981,-346.25467
2024_09_14__18_59_33,rear_end,-331.7196,-87.403595
2024_09_14__20_17_53,rear_end,-1.7343552,140.38443
2024_09_16__10_13_43,rear_end,-289.63116,192.35873
2024_09_22__10_15_33,lane_change_conflict,27.254038,-37.874004
2024_09_27__08_20_00,rear_end,-496.24567,56.93805
2024_09_27__16_55_24,rear_end,142.62396,147.13148
2024_09_30__10_42_58,rear_end,-291.7527,53.233463
2024_10_01__08_43_43,rear_end,129.63445,18.35309
2024_10_01__10_51_33,rear_end,-24.400913,37.50088
2024_10_03__09_29_31,rear_end,-163.9119,-195.36201
2024_10_05__17_18_27,rear_end,190.45062,-368.93707
2024_10_10__09_16_58,lane_change_conflict,194.05055,-228.12498
2024_10_11__11_12_50,lane_change_conflict,-207.55165,-47.487415
2024_11_08__16_34_56,rear_end,-137.67949,107.62094
2024_11_08__18_47_07,rear_end,127.32457,337.61163
2024_11_08__18_47_11,rear_end,127.32457,337.61163
2024_11_26__13_19_04,lane_change_conflict,37.15959,-245.50323
2024_11_28__08_04_10,rear_end,218.45132,-125.749435
2024_11_29__17_40_16,rear_end,-31.727781,-163.82181
