scene_id,severity_proxy,fraction,proxy_jaccard
2024_09_08__15_26_26,mid,0.4,0.25
2024_09_08__15_26_26,mid,0.6,0.75
2024_09_08__15_26_26,mid,0.8,1.0
2024_09_08__15_26_26,mid,1.0,1.0
2024_09_04__16_09_07,mid,0.4,0.25
2024_09_04__16_09_07,mid,0.6,0.25
2024_09_04__16_09_07,mid,0.8,0.25
2024_09_04__16_09_07,mid,1.0,1.0
2024_09_09__21_45_15,mid,0.4,0.2
2024_09_09__21_45_15,mid,0.6,1.0
2024_09_09__21_45_15,mid,0.8,1.0
2024_09_09__21_45_15,mid,1.0,1.0
2024_09_14__18_59_33,mid,0.4,0.4
2024_09_14__18_59_33,mid,0.6,0.8
2024_09_14__18_59_33,mid,0.8,1.0
2024_09_14__18_59_33,mid,1.0,1.0
2024_09_06__18_24_15,mid,0.4,0.75
2024_09_06__18_24_15,mid,0.6,1.0
2024_09_06__18_24_15,mid,0.8,1.0
2024_09_06__18_24_15,mid,1.0,1.0
2024_09_04__16_10_02,mid,0.4,0.6
2024_09_04__16_10_02,mid,0.6,0.8
2024_09_04__16_10_02,mid,0.8,1.0
2024_09_04__16_10_02,mid,1.0,1.0
2024_09_04__15_51_18,high,0.4,0.6
2024_09_04__15_51_18,high,0.6,0.8
2024_09_04__15_51_18,high,0.8,0.8
2024_09_04__15_51_18,high,1.0,1.0
2024_09_04__15_51_41,high,0.4,0.6
2024_09_04__15_51_41,high,0.6,0.8
2024_09_04__15_51_41,high,0.8,0.8
2024_09_04__15_51_41,high,1.0,1.0
2024_09_17__11_36_06,mid,0.4,0.75
2024_09_17__11_36_06,mid,0.6,1.0
2024_09_17__11_36_06,mid,0.8,1.0
2024_09_17__11_36_06,mid,1.0,1.0
2024_09_16__10_13_43,high,0.4,0.6
2024_09_16__10_13_43,high,0.6,1.0
2024_09_16__10_13_43,high,0.8,1.0
2024_09_16__10_13_43,high,1.0,1.0
2024_09_22__10_15_33,mid,0.4,0.2
2024_09_22__10_15_33,mid,0.6,0.2
2024_09_22__10_15_33,mid,0.8,0.2
2024_09_22__10_15_33,mid,1.0,1.0
2024_09_27__16_55_24,mid,0.4,0.5
2024_09_27__16_55_24,mid,0.6,0.5
